epoch,model,param_count,time,layers,optimizer,loss,beta_1,epsilon,beta_2,lr,decay,acc,loss,val_acc,val_loss
0,model_1,1578506,04 Dec 2016 16:35:45,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,5.7673347968673703,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.24576000000000001,5.7673347968673703,0.312,1.9687513072967529
1,model_1,1578506,04 Dec 2016 16:36:56,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.8518708838272095,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.34839999999999999,1.8518708838272095,0.36899999999999999,1.7950821310043334
2,model_1,1578506,04 Dec 2016 16:38:07,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.8485348244857789,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.34864000000000001,1.8485348244857789,0.35260000000000002,1.8295493883132934
3,model_1,1578506,04 Dec 2016 16:39:18,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.8464945173263549,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.35188000000000003,1.8464945173263549,0.32740000000000002,1.9298778118133544
4,model_1,1578506,04 Dec 2016 16:40:31,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.8369143368530274,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.35770000000000002,1.8369143368530274,0.3826,1.7693468469619751
5,model_1,1578506,04 Dec 2016 16:41:44,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.8238350952911377,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.36146,1.8238350952911377,0.36080000000000001,1.8027629390716553
6,model_1,1578506,04 Dec 2016 16:43:02,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.8170762650299073,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.36662,1.8170762650299073,0.3553,1.8600565237045288
7,model_1,1578506,04 Dec 2016 16:44:11,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.8098526886367798,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.36758000000000002,1.8098526886367798,0.30890000000000001,1.9655768428802489
8,model_1,1578506,04 Dec 2016 16:45:16,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.8000743704223632,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.37340000000000001,1.8000743704223632,0.37090000000000001,1.77421261844635
9,model_1,1578506,04 Dec 2016 16:46:26,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.791237289276123,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.37719999999999998,1.791237289276123,0.35420000000000001,1.8537386453628539
10,model_1,1578506,04 Dec 2016 16:47:35,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.7921159680175782,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.37980000000000003,1.7921159680175782,0.37469999999999998,1.7846493125915528
11,model_1,1578506,04 Dec 2016 16:48:42,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.7865055499267579,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.37894,1.7865055499267579,0.38640000000000002,1.7828986389160155
12,model_1,1578506,04 Dec 2016 16:49:50,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.7842048384857179,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.38328000000000001,1.7842048384857179,0.38229999999999997,1.7748734357833862
13,model_1,1578506,04 Dec 2016 16:51:08,"[<keras.layers.core.Dense object at 0x119eba490>, <keras.layers.core.Dense object at 0x126c8be90>]",<keras.optimizers.Adam object at 0x121cc4790>,1.7787326402664185,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.38469999999999999,1.7787326402664185,0.36049999999999999,1.8481835514068603
