epoch,model,param_count,time,layers,optimizer,loss,nesterov,lr,momentum,decay,acc,loss,val_acc,val_loss
0,cnn2,4200842,10 Nov 2016 14:33:21,"[<keras.layers.convolutional.Convolution2D object at 0x118246610>, <keras.layers.core.Activation object at 0x11826c050>, <keras.layers.pooling.MaxPooling2D object at 0x11826ce50>, <keras.layers.core.Flatten object at 0x11826c950>, <keras.layers.core.Dense object at 0x121548890>, <keras.layers.core.Activation object at 0x121556850>, <keras.layers.core.Dense object at 0x121556990>, <keras.layers.core.Activation object at 0x121573fd0>]",<keras.optimizers.SGD object at 0x12157b750>,1.7129250644683838,True,0.009999999776482582,0.8999999761581421,0.009999999776482582,0.39556000000000002,1.7129250644683838,0.45290000000000002,1.5468713769912719
0,cnn3,4200842,10 Nov 2016 14:36:52,"[<keras.layers.convolutional.Convolution2D object at 0x118a46650>, <keras.layers.core.Activation object at 0x118a6b050>, <keras.layers.pooling.MaxPooling2D object at 0x118a6be50>, <keras.layers.core.Flatten object at 0x118a6b950>, <keras.layers.core.Dense object at 0x1257df890>, <keras.layers.core.Activation object at 0x1257ee850>, <keras.layers.core.Dense object at 0x1257ee990>, <keras.layers.core.Activation object at 0x12580bfd0>]",<keras.optimizers.SGD object at 0x125813750>,1.4913221632385254,True,0.009999999776482582,0.8999999761581421,0.0006666666595265269,0.4662,1.4913221632385254,0.56399999999999995,1.2250271511077881
1,cnn3,4200842,10 Nov 2016 14:39:26,"[<keras.layers.convolutional.Convolution2D object at 0x118a46650>, <keras.layers.core.Activation object at 0x118a6b050>, <keras.layers.pooling.MaxPooling2D object at 0x118a6be50>, <keras.layers.core.Flatten object at 0x118a6b950>, <keras.layers.core.Dense object at 0x1257df890>, <keras.layers.core.Activation object at 0x1257ee850>, <keras.layers.core.Dense object at 0x1257ee990>, <keras.layers.core.Activation object at 0x12580bfd0>]",<keras.optimizers.SGD object at 0x125813750>,1.1459191080093383,True,0.009999999776482582,0.8999999761581421,0.0006666666595265269,0.59345999999999999,1.1459191080093383,0.5948,1.1371677146911621
2,cnn3,4200842,10 Nov 2016 14:42:12,"[<keras.layers.convolutional.Convolution2D object at 0x118a46650>, <keras.layers.core.Activation object at 0x118a6b050>, <keras.layers.pooling.MaxPooling2D object at 0x118a6be50>, <keras.layers.core.Flatten object at 0x118a6b950>, <keras.layers.core.Dense object at 0x1257df890>, <keras.layers.core.Activation object at 0x1257ee850>, <keras.layers.core.Dense object at 0x1257ee990>, <keras.layers.core.Activation object at 0x12580bfd0>]",<keras.optimizers.SGD object at 0x125813750>,1.0047145515632629,True,0.009999999776482582,0.8999999761581421,0.0006666666595265269,0.64651999999999998,1.0047145515632629,0.63119999999999998,1.0533721488952636
3,cnn3,4200842,10 Nov 2016 14:44:45,"[<keras.layers.convolutional.Convolution2D object at 0x118a46650>, <keras.layers.core.Activation object at 0x118a6b050>, <keras.layers.pooling.MaxPooling2D object at 0x118a6be50>, <keras.layers.core.Flatten object at 0x118a6b950>, <keras.layers.core.Dense object at 0x1257df890>, <keras.layers.core.Activation object at 0x1257ee850>, <keras.layers.core.Dense object at 0x1257ee990>, <keras.layers.core.Activation object at 0x12580bfd0>]",<keras.optimizers.SGD object at 0x125813750>,0.89948384893417355,True,0.009999999776482582,0.8999999761581421,0.0006666666595265269,0.68525999999999998,0.89948384893417355,0.63680000000000003,1.038979773426056
4,cnn3,4200842,10 Nov 2016 14:47:18,"[<keras.layers.convolutional.Convolution2D object at 0x118a46650>, <keras.layers.core.Activation object at 0x118a6b050>, <keras.layers.pooling.MaxPooling2D object at 0x118a6be50>, <keras.layers.core.Flatten object at 0x118a6b950>, <keras.layers.core.Dense object at 0x1257df890>, <keras.layers.core.Activation object at 0x1257ee850>, <keras.layers.core.Dense object at 0x1257ee990>, <keras.layers.core.Activation object at 0x12580bfd0>]",<keras.optimizers.SGD object at 0x125813750>,0.81075465595245366,True,0.009999999776482582,0.8999999761581421,0.0006666666595265269,0.71723999999999999,0.81075465595245366,0.64939999999999998,1.0086472232818604
5,cnn3,4200842,10 Nov 2016 14:49:52,"[<keras.layers.convolutional.Convolution2D object at 0x118a46650>, <keras.layers.core.Activation object at 0x118a6b050>, <keras.layers.pooling.MaxPooling2D object at 0x118a6be50>, <keras.layers.core.Flatten object at 0x118a6b950>, <keras.layers.core.Dense object at 0x1257df890>, <keras.layers.core.Activation object at 0x1257ee850>, <keras.layers.core.Dense object at 0x1257ee990>, <keras.layers.core.Activation object at 0x12580bfd0>]",<keras.optimizers.SGD object at 0x125813750>,0.73545755004882818,True,0.009999999776482582,0.8999999761581421,0.0006666666595265269,0.74494000000000005,0.73545755004882818,0.65529999999999999,1.0020362830162048
6,cnn3,4200842,10 Nov 2016 14:52:19,"[<keras.layers.convolutional.Convolution2D object at 0x118a46650>, <keras.layers.core.Activation object at 0x118a6b050>, <keras.layers.pooling.MaxPooling2D object at 0x118a6be50>, <keras.layers.core.Flatten object at 0x118a6b950>, <keras.layers.core.Dense object at 0x1257df890>, <keras.layers.core.Activation object at 0x1257ee850>, <keras.layers.core.Dense object at 0x1257ee990>, <keras.layers.core.Activation object at 0x12580bfd0>]",<keras.optimizers.SGD object at 0x125813750>,0.66637332973480223,True,0.009999999776482582,0.8999999761581421,0.0006666666595265269,0.77246000000000004,0.66637332973480223,0.65780000000000005,0.99904340333938602
7,cnn3,4200842,10 Nov 2016 14:54:45,"[<keras.layers.convolutional.Convolution2D object at 0x118a46650>, <keras.layers.core.Activation object at 0x118a6b050>, <keras.layers.pooling.MaxPooling2D object at 0x118a6be50>, <keras.layers.core.Flatten object at 0x118a6b950>, <keras.layers.core.Dense object at 0x1257df890>, <keras.layers.core.Activation object at 0x1257ee850>, <keras.layers.core.Dense object at 0x1257ee990>, <keras.layers.core.Activation object at 0x12580bfd0>]",<keras.optimizers.SGD object at 0x125813750>,0.60437347385406492,True,0.009999999776482582,0.8999999761581421,0.0006666666595265269,0.79483999999999999,0.60437347385406492,0.66579999999999995,0.98153910579681392
8,cnn3,4200842,10 Nov 2016 14:57:13,"[<keras.layers.convolutional.Convolution2D object at 0x118a46650>, <keras.layers.core.Activation object at 0x118a6b050>, <keras.layers.pooling.MaxPooling2D object at 0x118a6be50>, <keras.layers.core.Flatten object at 0x118a6b950>, <keras.layers.core.Dense object at 0x1257df890>, <keras.layers.core.Activation object at 0x1257ee850>, <keras.layers.core.Dense object at 0x1257ee990>, <keras.layers.core.Activation object at 0x12580bfd0>]",<keras.optimizers.SGD object at 0x125813750>,0.54831780062675473,True,0.009999999776482582,0.8999999761581421,0.0006666666595265269,0.81891999999999998,0.54831780062675473,0.66720000000000002,0.99406221303939823
