epoch,model,param_count,time,layers,optimizer,loss,beta_1,epsilon,beta_2,lr,decay,acc,loss,val_acc,val_loss
0,ffn8,30730,02 Nov 2016 06:35:42,"[<keras.layers.core.Dense object at 0x11d7403d0>, <keras.layers.core.Activation object at 0x11d7639d0>]",<keras.optimizers.Adam object at 0x10db14d90>,7.4794765585327152,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.19248000000000001,7.4794765585327152,0.2167,7.429909778594971
1,ffn8,30730,02 Nov 2016 06:35:47,"[<keras.layers.core.Dense object at 0x11d7403d0>, <keras.layers.core.Activation object at 0x11d7639d0>]",<keras.optimizers.Adam object at 0x10db14d90>,7.425878202819824,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.20449999999999999,7.425878202819824,0.21809999999999999,7.4177823242187504
2,ffn8,30730,02 Nov 2016 06:35:53,"[<keras.layers.core.Dense object at 0x11d7403d0>, <keras.layers.core.Activation object at 0x11d7639d0>]",<keras.optimizers.Adam object at 0x10db14d90>,7.4265928038024906,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.20838000000000001,7.4265928038024906,0.24349999999999999,7.4505382400512694
3,ffn8,30730,02 Nov 2016 06:35:58,"[<keras.layers.core.Dense object at 0x11d7403d0>, <keras.layers.core.Activation object at 0x11d7639d0>]",<keras.optimizers.Adam object at 0x10db14d90>,7.4315795484924321,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.16245999999999999,7.4315795484924321,0.2175,7.414874168395996
4,ffn8,30730,02 Nov 2016 06:36:03,"[<keras.layers.core.Dense object at 0x11d7403d0>, <keras.layers.core.Activation object at 0x11d7639d0>]",<keras.optimizers.Adam object at 0x10db14d90>,7.4139401795959472,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.22456000000000001,7.4139401795959472,0.22720000000000001,7.42012985458374
5,ffn8,30730,02 Nov 2016 06:36:08,"[<keras.layers.core.Dense object at 0x11d7403d0>, <keras.layers.core.Activation object at 0x11d7639d0>]",<keras.optimizers.Adam object at 0x10db14d90>,7.4114044859313966,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.22492000000000001,7.4114044859313966,0.22670000000000001,7.3887425895690919
6,ffn8,30730,02 Nov 2016 06:36:14,"[<keras.layers.core.Dense object at 0x11d7403d0>, <keras.layers.core.Activation object at 0x11d7639d0>]",<keras.optimizers.Adam object at 0x10db14d90>,7.4063016455078126,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.22156000000000001,7.4063016455078126,0.24279999999999999,7.4049238685607914
7,ffn8,30730,02 Nov 2016 06:36:19,"[<keras.layers.core.Dense object at 0x11d7403d0>, <keras.layers.core.Activation object at 0x11d7639d0>]",<keras.optimizers.Adam object at 0x10db14d90>,7.4092358149719235,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.22372,7.4092358149719235,0.17749999999999999,7.418940161895752
8,ffn8,30730,02 Nov 2016 06:36:24,"[<keras.layers.core.Dense object at 0x11d7403d0>, <keras.layers.core.Activation object at 0x11d7639d0>]",<keras.optimizers.Adam object at 0x10db14d90>,7.4045874147033688,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.2248,7.4045874147033688,0.19120000000000001,7.4141590965270998
9,ffn8,30730,02 Nov 2016 06:36:29,"[<keras.layers.core.Dense object at 0x11d7403d0>, <keras.layers.core.Activation object at 0x11d7639d0>]",<keras.optimizers.Adam object at 0x10db14d90>,7.3923586712646481,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.22484000000000001,7.3923586712646481,0.25990000000000002,7.3981667564392088
