epoch,model,param_count,time,layers,optimizer,loss,nesterov,lr,momentum,decay,acc,loss,val_acc,val_loss
0,ffn7,5256202,02 Nov 2016 06:07:27,"[<keras.layers.core.Dense object at 0x11d60a390>, <keras.layers.core.Activation object at 0x11d61f990>, <keras.layers.core.Dense object at 0x10dbd5d50>, <keras.layers.core.Activation object at 0x11d637750>, <keras.layers.core.Dense object at 0x11d614950>, <keras.layers.core.Activation object at 0x12a3b2350>, <keras.layers.core.Dense object at 0x12a39ab50>, <keras.layers.core.Activation object at 0x12a3d4dd0>]",<keras.optimizers.SGD object at 0x12a3c7e50>,1.9268952279281617,True,0.10000000149011612,0.8999999761581421,0.009999999776482582,0.28610000000000002,1.9268952279281617,0.3695,1.7250818563461303
1,ffn7,5256202,02 Nov 2016 06:10:13,"[<keras.layers.core.Dense object at 0x11d60a390>, <keras.layers.core.Activation object at 0x11d61f990>, <keras.layers.core.Dense object at 0x10dbd5d50>, <keras.layers.core.Activation object at 0x11d637750>, <keras.layers.core.Dense object at 0x11d614950>, <keras.layers.core.Activation object at 0x12a3b2350>, <keras.layers.core.Dense object at 0x12a39ab50>, <keras.layers.core.Activation object at 0x12a3d4dd0>]",<keras.optimizers.SGD object at 0x12a3c7e50>,1.7003026264190675,True,0.10000000149011612,0.8999999761581421,0.009999999776482582,0.38263999999999998,1.7003026264190675,0.37740000000000001,1.7192371532440185
2,ffn7,5256202,02 Nov 2016 06:12:29,"[<keras.layers.core.Dense object at 0x11d60a390>, <keras.layers.core.Activation object at 0x11d61f990>, <keras.layers.core.Dense object at 0x10dbd5d50>, <keras.layers.core.Activation object at 0x11d637750>, <keras.layers.core.Dense object at 0x11d614950>, <keras.layers.core.Activation object at 0x12a3b2350>, <keras.layers.core.Dense object at 0x12a39ab50>, <keras.layers.core.Activation object at 0x12a3d4dd0>]",<keras.optimizers.SGD object at 0x12a3c7e50>,1.6214443073272704,True,0.10000000149011612,0.8999999761581421,0.009999999776482582,0.41474,1.6214443073272704,0.43419999999999997,1.5914925117492675
3,ffn7,5256202,02 Nov 2016 06:16:05,"[<keras.layers.core.Dense object at 0x11d60a390>, <keras.layers.core.Activation object at 0x11d61f990>, <keras.layers.core.Dense object at 0x10dbd5d50>, <keras.layers.core.Activation object at 0x11d637750>, <keras.layers.core.Dense object at 0x11d614950>, <keras.layers.core.Activation object at 0x12a3b2350>, <keras.layers.core.Dense object at 0x12a39ab50>, <keras.layers.core.Activation object at 0x12a3d4dd0>]",<keras.optimizers.SGD object at 0x12a3c7e50>,1.5706379622650146,True,0.10000000149011612,0.8999999761581421,0.009999999776482582,0.43468000000000001,1.5706379622650146,0.44,1.5622930484771729
4,ffn7,5256202,02 Nov 2016 06:18:56,"[<keras.layers.core.Dense object at 0x11d60a390>, <keras.layers.core.Activation object at 0x11d61f990>, <keras.layers.core.Dense object at 0x10dbd5d50>, <keras.layers.core.Activation object at 0x11d637750>, <keras.layers.core.Dense object at 0x11d614950>, <keras.layers.core.Activation object at 0x12a3b2350>, <keras.layers.core.Dense object at 0x12a39ab50>, <keras.layers.core.Activation object at 0x12a3d4dd0>]",<keras.optimizers.SGD object at 0x12a3c7e50>,1.5295788050079346,True,0.10000000149011612,0.8999999761581421,0.009999999776482582,0.45428000000000002,1.5295788050079346,0.46379999999999999,1.5132855432510377
5,ffn7,5256202,02 Nov 2016 06:21:37,"[<keras.layers.core.Dense object at 0x11d60a390>, <keras.layers.core.Activation object at 0x11d61f990>, <keras.layers.core.Dense object at 0x10dbd5d50>, <keras.layers.core.Activation object at 0x11d637750>, <keras.layers.core.Dense object at 0x11d614950>, <keras.layers.core.Activation object at 0x12a3b2350>, <keras.layers.core.Dense object at 0x12a39ab50>, <keras.layers.core.Activation object at 0x12a3d4dd0>]",<keras.optimizers.SGD object at 0x12a3c7e50>,1.4962042783355713,True,0.10000000149011612,0.8999999761581421,0.009999999776482582,0.46555999999999997,1.4962042783355713,0.45119999999999999,1.5129375133514404
6,ffn7,5256202,02 Nov 2016 06:23:59,"[<keras.layers.core.Dense object at 0x11d60a390>, <keras.layers.core.Activation object at 0x11d61f990>, <keras.layers.core.Dense object at 0x10dbd5d50>, <keras.layers.core.Activation object at 0x11d637750>, <keras.layers.core.Dense object at 0x11d614950>, <keras.layers.core.Activation object at 0x12a3b2350>, <keras.layers.core.Dense object at 0x12a39ab50>, <keras.layers.core.Activation object at 0x12a3d4dd0>]",<keras.optimizers.SGD object at 0x12a3c7e50>,1.4721705266571046,True,0.10000000149011612,0.8999999761581421,0.009999999776482582,0.47426000000000001,1.4721705266571046,0.46350000000000002,1.4963001068115234
7,ffn7,5256202,02 Nov 2016 06:26:39,"[<keras.layers.core.Dense object at 0x11d60a390>, <keras.layers.core.Activation object at 0x11d61f990>, <keras.layers.core.Dense object at 0x10dbd5d50>, <keras.layers.core.Activation object at 0x11d637750>, <keras.layers.core.Dense object at 0x11d614950>, <keras.layers.core.Activation object at 0x12a3b2350>, <keras.layers.core.Dense object at 0x12a39ab50>, <keras.layers.core.Activation object at 0x12a3d4dd0>]",<keras.optimizers.SGD object at 0x12a3c7e50>,1.4511622493743896,True,0.10000000149011612,0.8999999761581421,0.009999999776482582,0.48211999999999999,1.4511622493743896,0.47349999999999998,1.4689286989212036
8,ffn7,5256202,02 Nov 2016 06:29:06,"[<keras.layers.core.Dense object at 0x11d60a390>, <keras.layers.core.Activation object at 0x11d61f990>, <keras.layers.core.Dense object at 0x10dbd5d50>, <keras.layers.core.Activation object at 0x11d637750>, <keras.layers.core.Dense object at 0x11d614950>, <keras.layers.core.Activation object at 0x12a3b2350>, <keras.layers.core.Dense object at 0x12a39ab50>, <keras.layers.core.Activation object at 0x12a3d4dd0>]",<keras.optimizers.SGD object at 0x12a3c7e50>,1.4330420569992066,True,0.10000000149011612,0.8999999761581421,0.009999999776482582,0.49003999999999998,1.4330420569992066,0.47320000000000001,1.4686718713760376
9,ffn7,5256202,02 Nov 2016 06:31:56,"[<keras.layers.core.Dense object at 0x11d60a390>, <keras.layers.core.Activation object at 0x11d61f990>, <keras.layers.core.Dense object at 0x10dbd5d50>, <keras.layers.core.Activation object at 0x11d637750>, <keras.layers.core.Dense object at 0x11d614950>, <keras.layers.core.Activation object at 0x12a3b2350>, <keras.layers.core.Dense object at 0x12a39ab50>, <keras.layers.core.Activation object at 0x12a3d4dd0>]",<keras.optimizers.SGD object at 0x12a3c7e50>,1.4184345447921753,True,0.10000000149011612,0.8999999761581421,0.009999999776482582,0.49403999999999998,1.4184345447921753,0.4778,1.4622492332458497
